outreach_priority,city_name,nome,phone,website,indirizzo,google_maps_url,hotelsdrop_url,slug,seo_indexable
high,Abbateggio,B&B Nonna Gina,320 758 2129,https://www.facebook.com/profile.php?id=100076476154725,"Piazza Castello, 65024 Manoppello PE",https://maps.google.com/?cid=7965477800400414963&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/b-b-nonna-gina-abbateggio,b-b-nonna-gina-abbateggio,true
high,Abbateggio,Casa del Pellegrino,085 859828,http://www.lacasadelpellegrinomanoppello.it/,"Via Cappuccini, 26, 65024 Manoppello PE",https://maps.google.com/?cid=17661001006541657582&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/casa-del-pellegrino-abbateggio,casa-del-pellegrino-abbateggio,true
high,Abbateggio,Hotel Panorama,348 322 2801,https://www.panoramaristorantehotel.it/,"Via Trieste, 57, 65020 San Valentino In Abruzzo Citeriore PE",https://maps.google.com/?cid=469776871312932816&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/hotel-panorama-abbateggio,hotel-panorama-abbateggio,true
high,Abbateggio,La Casetta B&B,338 614 5782,https://hostingstay.eu/la-casetta-bnb-bolognano,"Via Umberto I, 18, 65020 Bolognano PE",https://maps.google.com/?cid=2989514390988895511&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/la-casetta-b-b-abbateggio,la-casetta-b-b-abbateggio,true
high,Abbiategrasso,B&B Cascina delle mele,328 768 1551,https://cascinadellemele.it/,"Via Cascina S. Antonio, 1, 20009 Vittuone MI",https://maps.google.com/?cid=17999418563419757437&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/b-b-cascina-delle-mele-abbiategrasso,b-b-cascina-delle-mele-abbiategrasso,true
high,Abbiategrasso,B&B La Ginibissa,347 035 3907,http://www.laginibissa.it/,"Str. Ginibissa, 13, 20081 Abbiategrasso MI",https://maps.google.com/?cid=7449981817348060158&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/b-b-la-ginibissa-abbiategrasso,b-b-la-ginibissa-abbiategrasso,true
high,Abbiategrasso,B&B La Tarantola,02 9496 6523,http://www.beblatarantola.it/,"Nuova Vigevanese, località Bruciata, S.S. 494 Km 13,8, 20080 Albairate MI",https://maps.google.com/?cid=285054969506199053&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/b-b-la-tarantola-abbiategrasso,b-b-la-tarantola-abbiategrasso,true
high,Abbiategrasso,B&B Palazzo Barzizza,328 845 1519,http://www.bed-and-breakfast.it/pagina.cfm?id=3941&idregione=9,"Via Roma, 13, 20080 Ozzero MI",https://maps.google.com/?cid=1477489165490157507&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/b-b-palazzo-barzizza-abbiategrasso,b-b-palazzo-barzizza-abbiategrasso,true
high,Abbiategrasso,Cascina Poscallone,347 522 6101,http://www.cascinaposcallone.it/,"Via Poscallone, snc, 20081 Abbiategrasso MI",https://maps.google.com/?cid=1674245572901034093&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/cascina-poscallone-abbiategrasso,cascina-poscallone-abbiategrasso,true
high,Abbiategrasso,Nuovo Hotel Italia,02 2247 4923,https://www.nuovoalbergoitalia.it/,"Piazza Castello, 31, 20081 Abbiategrasso MI",https://maps.google.com/?cid=14550501365444009606&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/nuovo-hotel-italia-abbiategrasso,nuovo-hotel-italia-abbiategrasso,true
high,Abetone Cutigliano,Agriturismo le Dogane,339 636 0247,https://www.agriturismoledogane.it/,"Località Lambure, 1, 51028 San Marcello Piteglio PT",https://maps.google.com/?cid=8924952896386539524&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/agriturismo-le-dogane-abetone-cutigliano,agriturismo-le-dogane-abetone-cutigliano,true
high,Abetone Cutigliano,B&B Chalet,339 131 3757,https://www.facebook.com/bbchaletabetone/,"Via Brennero, 504, 51024 Abetone PT",https://maps.google.com/?cid=9440652323019592990&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/b-b-chalet-abetone-cutigliano,b-b-chalet-abetone-cutigliano,true
high,Abetone Cutigliano,Hotel Ristorante Pizzeria Primula,0573 60108,http://www.hotelprimula.com/,"Via Brennero, 195, 51024 Abetone PT",https://maps.google.com/?cid=5959596646808118124&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/hotel-ristorante-pizzeria-primula-abetone-cutigliano,hotel-ristorante-pizzeria-primula-abetone-cutigliano,true
high,Abriola,Basilicata Al Volo,344 109 6261,http://www.basilicatalvolo.it/,"L.go San Giacomo, 1, 85010 Brindisi Montagna PZ",https://maps.google.com/?cid=5587746934993581436&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/basilicata-al-volo-abriola,basilicata-al-volo-abriola,true
high,Abriola,Hotel Ristorante Il Volturino,329 274 7085,https://www.hotelristoranteilvolturino.com/,"Via Salvatore Milito, 3, 85010 Calvello PZ",https://maps.google.com/?cid=6810387569943014699&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/hotel-ristorante-il-volturino-abriola,hotel-ristorante-il-volturino-abriola,true
high,Abriola,Parco Ricevimenti Hotel Pierfaone,0971 722972,http://www.hotelpierfaone.it/,"Contrada Pierfaone, 85010 Abriola PZ",https://maps.google.com/?cid=8651739925888060800&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/parco-ricevimenti-hotel-pierfaone-abriola,parco-ricevimenti-hotel-pierfaone-abriola,true
high,Abriola,Pietrapanna,0971 921495,http://www.pietrapanna.it/,"Contrada Potentissima, snc, 85010 Calvello PZ",https://maps.google.com/?cid=7021880532410095083&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/pietrapanna-abriola,pietrapanna-abriola,true
high,Acate,Grand Hotel Vittoria,0932 863888,https://amalfit.cyou/grand-vittoria-lmor6x,"Vico III Carlo Pisacane, 53/B, 97019 Vittoria RG",https://maps.google.com/?cid=3044558910980899475&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/grand-hotel-vittoria-acate,grand-hotel-vittoria-acate,true
high,Acate,Home D&D,333 807 2679,http://www.affittacamereniscemi.it/,"SP11, 93015 Niscemi CL",https://maps.google.com/?cid=5783759211997585980&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/home-d-d-acate,home-d-d-acate,true
high,Acate,Stella dei venti,339 456 4548,https://alanlovestotravel.eu/stella-dei-venti-vittoria-italy,"Contrada Gaspanella, km 6, 8, 97019 Vittoria RG",https://maps.google.com/?cid=3395485280432202822&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/stella-dei-venti-acate,stella-dei-venti-acate,true
high,Acate,Yhomisus,351 811 3781,https://yhomisus.it/,"Via Papa Giovanni XXIII, 75, 97013 Comiso RG",https://maps.google.com/?cid=14449898183083298694&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/yhomisus-acate,yhomisus-acate,true
high,Accadia,"Agriturismo Antica Masseria Lo Conte B&B, sala eventi",338 729 2525,https://www.masserialoconte.it/,"Via Torreamando, 99, 83031 Ariano Irpino AV",https://maps.google.com/?cid=8885419218831077872&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/agriturismo-antica-masseria-lo-conte-b-b-sala-ev-accadia,agriturismo-antica-masseria-lo-conte-b-b-sala-ev-accadia,true
high,Accadia,Bed & Wine Rocco Zambri,338 401 0379,https://francescastraveltips.com/rocco-zambri-bed-amp-wine-italy,"Largo Impisi, 5, 71023 Bovino FG",https://maps.google.com/?cid=11071860642512014422&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/bed-wine-rocco-zambri-accadia,bed-wine-rocco-zambri-accadia,true
high,Accadia,Camera a Sud,347 489 5141,https://alistraveltips.com/camera-a-sud-italy,"Piazza Marino Boffa, 13, 71023 Bovino FG",https://maps.google.com/?cid=3893800663441232957&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/camera-a-sud-accadia,camera-a-sud-accadia,true
high,Accadia,La Candela Affittacamere,329 142 5408,https://www.lacandelaffittacamere.it/,"viale REGINA ELENA,36, Viale Regina Elena, 48/E, 71024 Candela FG",https://maps.google.com/?cid=14648413206338566783&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/la-candela-affittacamere-accadia,la-candela-affittacamere-accadia,true
high,Accadia,Palazzo Petrilli,324 849 0189,https://palazzopetrilli.it/,"Via Petrilli Nicola, 6, 83058 Trevico AV",https://maps.google.com/?cid=2985395126167603354&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/palazzo-petrilli-accadia,palazzo-petrilli-accadia,true
high,Accadia,Residenza Sant'Antonio,340 774 5309,https://travelstays.eu/residenza-sant-39-antonio-italy,"Via Giuseppe Bracca, 33, 71023 Deliceto FG",https://maps.google.com/?cid=7584522598898447734&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/residenza-sant-antonio-accadia,residenza-sant-antonio-accadia,true
high,Accadia,Villa Aurora,331 585 8501,https://villa-aurora1.webnode.it/,"Contrada Piscone, 17, 83030 Villanova del Battista AV",https://maps.google.com/?cid=15944471164999818477&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/villa-aurora-accadia,villa-aurora-accadia,true
high,Acceglio,Albergo Roburent,340 967 6678,https://albergo-roburent.italiavacanzeindimenticabili.top/,"Via Nazionale, 15, 12010 Villaggio Primavera CN",https://maps.google.com/?cid=16869177157773732811&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/albergo-roburent-acceglio,albergo-roburent-acceglio,true
high,Acceglio,Locanda Mistral,376 129 6432,http://www.locandamistral.com/,"Borgata Ponte Maira, 26, 12021 Ponte Maira CN",https://maps.google.com/?cid=564991278781202825&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/locanda-mistral-acceglio,locanda-mistral-acceglio,true
high,Accettura,B&B A Due Passi - hotel Bed and Breakfast e Affitta camere,333 488 6516,https://www.paginegialle.it/a-due-passi-bed-and-breakfast-grassano-mt,"Vicolo II Forno, 15, 75014 Grassano MT",https://maps.google.com/?cid=15577874825292761886&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/b-b-a-due-passi-hotel-bed-and-breakfast-e-affitt-accettura,b-b-a-due-passi-hotel-bed-and-breakfast-e-affitt-accettura,true
high,Accettura,B&B da Rosario,347 496 9096,http://bnb-darosario.com.es/,"Via della Pineta n. 4, 85010 Campomaggiore PZ",https://maps.google.com/?cid=9712095184783854618&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/b-b-da-rosario-accettura,b-b-da-rosario-accettura,true
high,Accettura,Fenì Home Bed & Breakfast Tricarico,338 742 7320,http://www.fenihome.it/,"Via Scotellaro Rocco, 68, 75019 Tricarico MT",https://maps.google.com/?cid=14794708706982913990&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/feni-home-bed-breakfast-tricarico-accettura,feni-home-bed-breakfast-tricarico-accettura,true
high,Accettura,Hotel Antico Pastificio Sarubbi,0835 565663,https://hotel.amolitalia.top/,"Via Roma, 107, 75018 Stigliano MT",https://maps.google.com/?cid=9793712235998018071&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/hotel-antico-pastificio-sarubbi-accettura,hotel-antico-pastificio-sarubbi-accettura,true
high,Accettura,Hotel San Giuliano,0835 675747,https://sangiulianohotel.it/,"Piazza Peppino Cartoscelli, 7, 75011 Accettura MT",https://maps.google.com/?cid=17425608485173616882&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/hotel-san-giuliano-accettura,hotel-san-giuliano-accettura,true
high,Accettura,Mirutt B&B & Wellness,392 305 1113,https://mirutt.bedsandhotels.com/,"Vico Primo Castello, 8, 85010 Castelmezzano PZ",https://maps.google.com/?cid=17221178514849517586&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/mirutt-b-b-wellness-accettura,mirutt-b-b-wellness-accettura,true
high,Acciano,Agriturismo Il Pozzo dei Desideri,342 043 6465,https://www.il-pozzo-dei-desideri.it/,"Via della Torre, 67020 San Pio delle Camere AQ",https://maps.google.com/?cid=4717844849449572634&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/agriturismo-il-pozzo-dei-desideri-acciano,agriturismo-il-pozzo-dei-desideri-acciano,true
high,Acciano,alloggio taddei,348 074 3475,https://taddei.bedsandhotels.com/,"S.da Provinciale Barisciano Caste de Monte, 5, 67021 Barisciano AQ",https://maps.google.com/?cid=13412963034520595573&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/alloggio-taddei-acciano,alloggio-taddei-acciano,true
high,Acciano,B&B BellaVista,339 334 1100,https://www.facebook.com/BellaVista-BB-Popoli-PE-852391814826336/,"Via Gran Sasso, n°4, 65026 Popoli PE",https://maps.google.com/?cid=16302952898019454786&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/b-b-bellavista-acciano,b-b-bellavista-acciano,true
high,Acciano,B&B Il Minotauro,338 337 0166,https://bed-and-breakfast-il-minotauro.vederelitalia.top/,"Via Ricasso, 75, 67030 Vittorito AQ",https://maps.google.com/?cid=15472005319473660659&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/b-b-il-minotauro-acciano,b-b-il-minotauro-acciano,true
high,Acciano,B&B La grotta di nonno Vittorio,349 119 9758,https://la-grotta-di-nonno-vittorio.italiavacanzeindimenticabili.top/,"Via Carapelle, 5, 67020 San Pio delle Camere AQ",https://maps.google.com/?cid=13201018661249144684&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/b-b-la-grotta-di-nonno-vittorio-acciano,b-b-la-grotta-di-nonno-vittorio-acciano,true
high,Acciano,B&B Sotto Le Volte,333 489 4216,https://bb-sotto-le-volte.italiapaesaggiviaggi.top/,"15bis, Via del Municipio, 67020 Navelli AQ",https://maps.google.com/?cid=2672822941833976483&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/b-b-sotto-le-volte-acciano,b-b-sotto-le-volte-acciano,true
high,Acciano,Bed & Breakfast La Solagna,340 823 4301,http://beblasolagna.it/,"Strada Interpoderale S. Lorenzo, 1, 67020 Acciano AQ",https://maps.google.com/?cid=16280905289726380954&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/bed-breakfast-la-solagna-acciano,bed-breakfast-la-solagna-acciano,true
high,Accumoli,Agricampeggio Alta Montagna Bio,347 513 3299,http://www.altamontagnabio.it/,"Loc. Madonna delle Coste,2, 02011 Accumoli RI",https://maps.google.com/?cid=10501755388214537889&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/agricampeggio-alta-montagna-bio-accumoli,agricampeggio-alta-montagna-bio-accumoli,true
high,Accumoli,Agricamping Il Casale,347 713 9451,https://www.agricampingilcasale.it/,"loc. Madonna delle Coste, 02011 Accumoli RI",https://maps.google.com/?cid=10637447484568436204&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/agricamping-il-casale-accumoli,agricamping-il-casale-accumoli,true
high,Accumoli,Agriturismo il Casale degli Amici,0743 816811,http://ilcasaledegliamici.it/,"Vocabolo Cappuccini, 157, 06046 Norcia PG",https://maps.google.com/?cid=1738912383407539769&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/agriturismo-il-casale-degli-amici-accumoli,agriturismo-il-casale-degli-amici-accumoli,true
high,Accumoli,Camere Antico Mulino,349 120 8967,https://anticomulinodicascia.it/,"Viale Cavour, 06043 Padule PG",https://maps.google.com/?cid=6659546470111705887&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/camere-antico-mulino-accumoli,camere-antico-mulino-accumoli,true
high,Accumoli,GANS Bed & Breakfast,0743 795006,http://www.ganscascia.it/,"Via Tranquillo Graziani, 10/A, 06043 Cascia PG",https://maps.google.com/?cid=5341746042091321973&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/gans-bed-breakfast-accumoli,gans-bed-breakfast-accumoli,true
high,Accumoli,Hotel Il Quadrifoglio,0743 76900,http://www.hotelquadrifogliocascia.com/,"Via Camillo Benso Conte di Cavour, 1, 06043 Cascia PG",https://maps.google.com/?cid=601747222202638529&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hotelsdrop.com/hotel/hotel-il-quadrifoglio-accumoli,hotel-il-quadrifoglio-accumoli,true
